fisher1,fisher10,fisher11,fisher12,fisher13,fisher14,fisher15,fisher16,fisher17,fisher18,fisher19,fisher2,fisher20,fisher3,fisher4,fisher5,fisher6,fisher7,fisher8,fisher9,total_catch_kg,total_biomass_kg,biomass_inside_MPA_kg,biomass_outside_MPA_kg
0.0,0.0,56.39983668000008,38.10232547999976,21.870000000000005,0.0,10.934999999999945,34.40396227168185,46.89365723999981,0.0,23.193403920000037,0.0,25.5197530800001,70.36385616533221,0.0,0.0,50.43874869542083,10.934999999999945,10.934999999999945,31.747544999999946,431.73808853243446,51659.99283029538,4737.152656543526,46922.84017375185
0.0,0.0,0.0,0.0,18.218814839999936,0.0,0.0,79.36814936444216,52.736111122359944,11.91848256000003,102.73569187168141,0.0,0.0,37.60520255999995,18.657433980143423,116.00880614599896,10.934999999999945,0.0,26.06589396000004,10.934999999999945,485.18458640462575,51390.4571664322,4726.51423464054,46663.94293179166
26.003021760000024,13.729798980143357,37.862303039999915,28.35121823999998,21.652754760000107,35.88354431999994,21.86999999999989,17.029324388820896,82.72246175999953,25.47735119999993,0.0,0.0,0.0,63.5250195223598,36.886466879999944,12.965556191681912,70.03411398014339,0.0,0.0,41.13618371999996,535.1291187431486,51062.396609681884,4618.810697126231,46443.58591255565
19.42718579999996,0.0,14.3733139200001,0.0,35.24639184,0.0,37.71926565344779,10.934999999999945,0.0,43.73999999999978,21.86999999999989,62.257410000000164,62.11520742882112,25.208175239999946,0.0,10.934999999999945,19.791693656060602,10.08332064000001,20.812545,28.496227775420948,423.0107369537502,50879.678373905685,4648.631364196462,46231.047009709226
0.0,21.870000000000005,31.09152276000009,0.0,46.00224909542101,43.739999999999895,0.0,45.42247417108774,98.90804051999976,65.60999999999967,0.0,0.0,67.74191999999994,13.081781975420881,87.47999999999956,0.0,16.394915159999982,0.0,0.0,33.70578155999999,571.0486852419285,50489.82316230864,4573.311244066592,45916.511918242046
13.081781975421109,0.0,71.78746175999981,0.0,21.870000000000005,19.825559999999996,76.25875440896448,0.0,104.99331131999975,58.10231411999962,0.0,0.0,0.0,51.023814839999886,0.0,157.99220840331577,0.0,0.0,0.0,0.0,574.9352068277004,50124.38605581294,4642.249186709537,45482.1368691034
51.87687267148169,0.0,94.0575272399999,27.753347519999807,0.0,0.0,0.0,0.0,0.0,0.0,17.263124999999945,17.112461759999974,65.68410527999981,10.934999999999945,20.60958815999993,78.56325507708652,24.526010468820914,0.0,52.33548528533197,0.0,460.7167784627204,49850.24288427555,4655.125139232208,45195.11774504334
10.934999999999945,12.965556191681856,66.5537342399997,32.804999999999836,92.72150192235972,67.53496783168157,9.674588159999985,18.386896320000005,25.514559359999794,0.0,0.0,0.0,0.0,0.0,0.0,60.3073806259988,7.283814840000105,0.0,0.0,80.20325972236003,484.88625921408135,49647.66896123401,4653.400578094944,44994.26838313907
79.7742318823598,61.77863196000021,0.0,0.0,34.27608180896459,21.86999999999989,14.27317524,14.579559359999848,21.86999999999989,10.934999999999945,0.0,27.19342367999991,27.753347519999807,44.57032451999976,18.05327999999986,20.409430680000014,0.0,0.0,24.80834006599889,0.0,422.1448267173224,49485.83538845699,4711.394120796869,44774.44126766012
52.89836543999991,0.0,10.93500000000006,42.30666611999982,39.216952085332196,0.0,22.91227373606057,19.825559999999996,32.804999999999836,24.66479898014336,15.984013256060507,25.32484667620406,0.0,50.3767609199997,10.934999999999945,58.31955935999963,32.934201479999956,0.0,0.0,21.018320639999956,460.4573186937995,49226.75568249252,4656.574912259701,44570.18077023282
14.68570499999987,0.0,18.557543879999912,43.73999999999978,47.71135871999991,35.46101046882086,9.10611072000006,0.0,40.19183711999972,10.934999999999945,54.67499999999973,0.0,59.317654319999974,95.93884476533185,0.0,0.0,0.0,38.98246175999998,0.0,0.0,469.3025267541516,48988.78101972881,4560.06613501143,44428.71488471738
25.620704999999816,31.147053119999896,0.0,0.0,0.0,42.68254499999989,0.0,25.099787520000064,2.146781975420936,15.151714200000015,0.0,15.13089395999998,10.29193452000004,46.124147519999724,0.0,25.72889183999996,10.934999999999945,65.60999999999967,39.47823683999968,21.86999999999989,377.0176914954195,48840.45717165611,4646.001964526144,44194.45520712997
0.0,0.0,18.218814839999936,32.43268512000009,51.023814839999886,0.0,0.0,0.0,15.992303040000024,0.0,47.851897860143254,13.591010468821196,0.0,204.93799488533136,25.1099999999999,0.0,0.0,60.29222130014318,0.0,0.0,469.45074235443883,48585.18867964652,4703.906238748254,43881.28244089826
0.0,32.58775476000005,11.996325202360026,21.86999999999989,26.869340468820837,0.0,0.0,31.222399320000022,0.0,29.32189631999995,43.73999999999978,0.0,0.0,32.804999999999836,0.0,0.0,21.86999999999989,101.4369155999998,0.0,0.0,353.7196316711801,48399.60144068239,4583.638888000092,43815.96255268229
21.86999999999989,0.0,43.73999999999978,0.0,0.0,76.11340607999978,0.0,66.09883509542055,0.0,42.159796919999735,79.93764297542043,47.80732427999999,0.0,21.86999999999989,49.50997991999975,0.0,0.0,0.0,32.34537823701385,12.265658280000025,493.7180217878537,48077.61280823181,4548.26236787346,43529.35044035835
18.05327999999986,68.61671999999987,21.86999999999989,0.0,0.0,20.017436039999893,10.934999999999945,0.0,0.0,68.38647263999974,15.486966720000055,0.0,32.804999999999836,0.0,0.0,21.86999999999989,36.14317523999989,18.514541242319183,13.591010468820969,45.05325300000004,391.34285535113906,47878.1870543214,4539.298578307355,43338.88847601405
33.63669503999972,0.0,70.0299853199997,0.0,46.34063459999993,0.0,0.0,0.0,42.42535055999997,0.0,56.11661855999978,0.0,19.062566185999003,47.27979071999971,10.934999999999945,10.934999999999945,0.0,31.746760919999815,0.0,52.546760639999775,421.0551625459973,47626.512814389236,4507.0794142157265,43119.43340017351
32.804999999999836,23.4043871401434,14.475435479999987,0.0,20.60958815999993,20.799212399999988,91.79267327999969,43.73999999999978,58.113313919999655,0.0,0.0,0.0,0.0,32.587754759999825,26.812208519999785,0.0,0.0,29.153814839999995,10.934999999999945,76.03417835999994,481.26256686014176,47323.76858711409,4499.689363195085,42824.079223919005
