Week,Total_Fish_Agents,Larval_Count,Juvenile_Count,Adult_Count,Weekly_Catch_KG,Weekly_Profit_Rs
120,7786,0,2539,5247,6935.636657975921,-2817871.8817316866
121,7733,0,2535,5198,5617.227372145288,-3019335.892002274
122,7667,0,2534,5133,5744.182718394799,-3015024.093194143
123,7599,0,2533,5066,7419.674098831325,-2762692.754777242
124,7543,0,2525,5018,6775.672467752325,-2862671.435298954
125,7486,0,2524,4962,5495.948470387951,-3070839.033061186
126,7413,0,2522,4891,8512.612745807459,-2599930.055493037
127,7408,0,2521,4887,7976.266085926822,-2686411.1900675828
128,7403,0,2518,4885,0.0,-3896594.050962091
129,7398,0,2516,4882,0.0,-3865394.1118611298
130,7395,0,2515,4880,0.0,-3879505.8042927114
131,7390,0,2513,4877,0.0,-3872917.10121743
132,7385,0,2510,4875,0.0,-3891359.849430446
133,7379,0,2504,4875,0.0,-3878055.68286483
134,7374,0,2503,4871,0.0,-3867951.990424227
135,7373,0,2502,4871,0.0,-3875997.7223313334
136,7367,0,2498,4869,0.0,-3863133.439653393
137,7363,0,2498,4865,0.0,-3860796.528262094
138,7361,0,2497,4864,0.0,-3866730.3047835217
139,10382,3024,2497,4861,0.0,-3873233.132046898
140,10262,2958,2496,4808,0.0,-3887063.4658455052
141,10142,2900,2493,4749,7110.406473549377,-2819260.5547743263
142,10036,2844,2490,4702,8196.39374640852,-2633293.482063767
143,9912,2779,2485,4648,6328.120797827226,-2926409.440878303
144,9788,0,2717,7071,8363.306556762807,-2639605.3281392497
145,9724,0,2716,7008,8939.809991703369,-2553529.1695425455
146,9654,0,2714,6940,9101.741204600734,-2509715.217428827
147,9597,0,2711,6886,8513.219364294006,-2600274.033960691
148,9551,0,2706,6845,7812.943393314514,-2713421.8655254687
149,9487,0,2706,6781,7191.150627610268,-2802633.7548440113
150,9441,0,2704,6737,8739.775726256601,-2566141.940602691
151,9393,0,2699,6694,6131.808800676827,-2962843.318037856
152,9328,0,2698,6630,6745.676846100305,-2863698.577381133
153,9252,0,2695,6557,5957.906531755055,-2988987.4760935525
154,9145,0,2691,6454,8399.716149087064,-2609799.1565181836
155,9050,0,2688,6362,11571.693048199557,-2165366.372247651
156,8962,0,2684,6278,13112.284895205912,-1923021.6491580019
